Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;In my wellbeing services county, I should be able to get non-urgent treatment in primary health care within two weeks.;Customer fees for public healthcare should be reduced.;It is right that public money is spent to support people's use of private healthcare.;One round-the-clock specialist hospital with emergency services will be enough in my wellbeing services county in the future.;I am prepared to compromise on the social and health services of my home municipality if it is in the interest of the entire wellbeing services county.;My wellbeing services county should attract doctors to health centers with financial incentives, even if that means cutting spending elsewhere.;My wellbeing services county should attract care staff from abroad.;My wellbeing services county must ensure that caregivers have a good command of Finnish or Swedish.;My wellbeing services county should also offer undocumented people healthcare that is not required by law.;This wellbeing services county should stop providing free contraception for young people.;My wellbeing services county should train social and healthcare workers about the diversity of sexual orientation and gender.;It is right that even small hospitals in Swedish-speaking areas be allowed maintain 24-hour special medical care services due to linguistic rights.;Young people should be able to access mental health services without an appointment in my wellbeing services county.;We should add more beds to 24-hour service housing for the elderly, even if it costs more.;In eldercare, home visits can be replaced by remote services.;Adult children should take more responsibility for caring for their elderly parents than they do now.;We must accept that one's place of residence affects the availability of basic social and healthcare services.;This wellbeing services county should reduce its purchase of child protection services from large companies.;Drug users should have the opportunity to exchange dirty needles for clean ones in all the municipalities in my wellbeing services county.;The current fire brigades must be maintained, even in remote areas.;Wellbeing services counties should be given the right to collect tax.;The number of wellbeing services counties should be reduced from the current 21.;Well-being areas must make budget cuts within the required timeframe, even if that means that services must be quickly reduced.;No-one should be allowed to hold triple roles as MP, municipal councillor and regional councillor at the same time.;My wellbeing services county must take into account the reduction of climate emissions in all its decisions.
Aino Kenttälä;Vasemmistoliitto;Jyväskylä;ylioppilas;2000;suomi;suomi, ruotsi, englanti, espanja;female;3;3;0;1;1;2;2;2;3;0;3;2;3;2;1;0;0;2;3;2;3;2;0;2;3
Aino Koski;Suomen Sosialidemokraattinen Puolue;Ilmajoki;alempi korkeakoulututkinto;1959;suomi;suomi;female;3;3;2;0;0;1;2;3;1;0;2;1;2;3;0;0;0;2;2;3;0;0;0;2;1
Aino Laine;Suomen Sosialidemokraattinen Puolue;Espoo;ylempi korkeakoulututkinto;1988;suomi;suomi, englanti;female;3;2;1;1;2;1;2;3;2;0;2;1;3;2;2;0;2;2;3;3;2;2;1;2;3
Aino Liljaniemi;Kansallinen Kokoomus;Hollola;ylioppilas;2005;suomi;suomi, ruotsi, englanti;female;1;1;2;3;2;1;2;2;1;0;2;1;3;2;2;0;2;1;2;2;1;3;2;2;2
Aino Närkki;Kansallinen Kokoomus;Riihimäki;ylempi korkeakoulututkinto;1956;suomi;suomi, ruotsi, englanti, saksa;female;1;0;3;3;1;1;3;2;0;0;2;1;1;2;3;1;2;0;2;3;0;2;3;2;3
Aino Rastas;Vihreä liitto;Pirkkala;ylioppilas;1994;suomi;;female;2;1;3;0;2;2;0;3;3;0;3;2;3;3;2;1;0;1;3;2;2;0;0;2;2
Aino Riikkilä;Suomen Sosialidemokraattinen Puolue;Kokkola;ylioppilas;1989;suomi;suomi, englanti;female;3;2;1;2;2;1;1;3;2;0;3;3;3;3;1;0;1;1;3;3;1;0;1;2;2
Aino-Mari Hyöppinen;Vasemmistoliitto;Tornio;ammattitutkinto;1988;suomi;suomi, ruotsi, englanti;female;3;3;1;0;0;1;2;3;2;0;3;1;2;3;0;1;1;3;3;3;2;0;1;3;2
Aino-Maria Hakala;Kansallinen Kokoomus;Maalahti;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;1;0;2;2;3;1;3;1;0;2;1;0;1;2;0;3;2;2;1;3;0;3;3;0;1
Aino-leena Harjula;Suomen Keskusta;Espoo;alempi korkeakoulututkinto;1979;suomi;suomi, ruotsi, englanti, italia;female;1;1;2;2;2;1;2;2;0;1;1;1;2;2;1;2;2;2;1;2;0;2;1;2;1
Aino-riikka Simula;Suomen Keskusta;Vesilahti;ylioppilas;1996;suomi;englanti;female;3;1;2;1;0;3;2;3;0;0;2;0;3;3;2;2;0;2;2;3;1;0;1;2;2
Ainokaisa Saarinen;Kansallinen Kokoomus;Turku;alempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti, ranska;female;2;1;2;1;1;2;3;3;2;1;2;2;2;2;2;1;1;2;2;2;0;3;2;2;3
Aira Helala;Suomen Sosialidemokraattinen Puolue;Vaasa;ammattitutkinto;1956;suomi;suomi;female;3;3;1;0;1;1;2;2;2;0;3;3;3;3;2;1;0;2;3;0;2;0;0;1;3
Aira Hirvenlahti;Kansallinen Kokoomus;Mikkeli;alempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;3;3;3;3;3;2;3;3;2;0;3;0;2;2;2;2;0;2;1;2;0;0;2;3;3
Aira Kyläniemi;Suomen Sosialidemokraattinen Puolue;Pihtipudas;ylioppilas;1968;suomi;suomi, ruotsi, englanti;female;3;2;1;3;1;2;2;3;1;0;1;0;2;3;0;1;2;1;1;3;1;1;1;2;1
Aira Lievetmursu;Suomen Sosialidemokraattinen Puolue;Oulu;alempi korkeakoulututkinto;1958;suomi;suomi, ruotsi, englanti;female;2;2;1;2;2;2;2;2;2;0;3;2;2;2;2;1;2;2;3;1;0;2;1;2;3
Aive Pietilä;Perussuomalaiset;Vantaa;ylempi korkeakoulututkinto;1967;jokin muu;suomi, ruotsi, englanti, venäjä, viro;female;2;2;1;1;1;0;0;3;0;0;1;0;2;1;1;2;1;2;1;2;0;2;1;1;0
Aki Hepokorpi;Kansallinen Kokoomus;Pirkkala;ylioppilas;1979;suomi;suomi, englanti;male;2;1;2;2;2;1;2;2;0;1;1;1;3;2;2;2;3;1;2;2;1;3;2;3;1
Aki Hirvonen;Perussuomalaiset;Iisalmi;ammattitutkinto;1984;suomi;suomi, englanti;male;3;2;2;0;3;1;0;3;0;3;0;0;3;1;2;3;3;3;0;3;0;3;3;3;0
Aki Karvonen;Kansallinen Kokoomus;Kokkola;ammattitutkinto;2005;suomi;suomi, ruotsi, englanti;male;3;3;2;3;3;2;1;3;3;0;3;3;3;3;0;3;0;0;3;3;0;3;0;1;3
Aki Kivirinta;Liberaalipuolue - Vapaus valita;Oulu;ylioppilas;1979;suomi;suomi, englanti;male;3;0;2;3;3;1;3;2;3;0;3;0;1;1;2;1;3;0;3;3;3;3;3;3;3
Aki Korkalainen;Kansallinen Kokoomus;Siilinjärvi;alempi korkeakoulututkinto;1970;suomi;suomi, englanti;male;3;0;2;3;2;1;3;1;0;0;3;0;2;3;2;1;2;1;3;3;0;1;2;1;2
Aki Leppänen;Vasemmistoliitto;Ylöjärvi;ammattitutkinto;1985;suomi;suomi, englanti;male;3;3;0;0;1;2;1;3;3;0;2;1;3;3;0;0;1;3;3;3;3;0;0;2;3
