Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Jani Ahlholm;Suomen Sosialidemokraattinen Puolue;Nivala;ammattitutkinto;1973;suomi;suomi, englanti;male;3;2;1;2;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;1;2;2;1;1;1
Tomi Aksila;Perussuomalaiset;Nivala;ammattitutkinto;1984;suomi;suomi, englanti, joku muu;male;3;0;0;3;3;0;3;3;2;2;0;0;1;0;3;2;0;2;3;3;3;0;2;2;0
Eero Erkkilä;Perussuomalaiset;Nivala;ammattitutkinto;1957;suomi;suomi;male;2;0;1;2;1;0;3;2;1;1;0;1;1;1;2;1;1;2;1;2;2;1;0;1;0
Heikki Häyrynen;Suomen Keskusta;Nivala;ammattitutkinto;1943;suomi;suomi;male;2;2;2;2;2;2;2;2;1;3;0;1;1;2;1;1;1;2;2;1;1;1;1;2;1
Teemu Isoaho;Kansallinen Kokoomus;Nivala;alempi korkeakoulututkinto;1985;suomi;suomi;male;3;0;2;2;1;0;2;2;2;2;0;1;1;2;1;0;1;2;2;1;2;1;1;0;1
Jere Jämsä;Suomen Keskusta;Nivala;ylioppilas;2005;suomi;suomi, englanti;male;2;2;2;2;1;0;2;3;1;1;2;2;1;0;2;2;1;1;2;2;1;2;1;2;2
Sami Kesti;Suomen Keskusta;Nivala;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, saksa;male;2;1;2;2;1;0;1;1;2;2;1;1;1;1;1;1;1;2;2;3;1;1;1;1;0
Juha Koski;Perussuomalaiset;Nivala;ylempi korkeakoulututkinto;1966;suomi;ruotsi, englanti;male;1;0;0;1;2;0;3;3;3;1;1;0;2;0;0;3;0;1;2;3;1;1;0;0;0
Elias Kukkola;Suomen Keskusta;Nivala;ammattitutkinto;1993;suomi;suomi, englanti;male;1;1;0;2;1;1;2;3;1;2;1;1;2;1;2;2;1;2;2;3;1;1;1;0;0
Jukka Kumara;Kansallinen Kokoomus;Nivala;ammattitutkinto;1972;suomi;suomi;male;2;1;2;2;2;1;3;2;2;2;1;1;2;1;2;2;1;2;2;1;2;1;1;1;1
Juho Laitila;Suomen Keskusta;Nivala;ylempi korkeakoulututkinto;1986;suomi;suomi, ruotsi, englanti;male;3;1;2;1;2;2;1;1;1;2;0;1;1;3;1;1;1;2;2;1;2;1;2;1;3
Markus Lakso;Suomen Keskusta;Nivala;ammattitutkinto;1990;suomi;suomi, englanti;male;3;1;2;2;2;0;3;2;3;2;1;2;1;0;2;2;1;1;2;2;1;1;0;1;0
Hannes Ohtamaa;Suomen Keskusta;Nivala;ylempi korkeakoulututkinto;1980;suomi;suomi;male;2;1;1;3;2;0;3;3;2;2;1;1;2;1;2;2;1;2;1;1;1;1;0;1;0
Jussi Palola;Suomen Keskusta;Nivala;ammattitutkinto;1978;suomi;;male;1;0;0;1;0;0;3;3;1;2;0;2;2;2;2;2;1;0;2;3;1;1;0;2;0
Matti Peltola;Kansallinen Kokoomus;Nivala;ylempi korkeakoulututkinto;1962;suomi;suomi, englanti;male;3;1;1;2;3;0;3;3;2;1;0;1;0;2;2;2;1;2;2;2;1;2;0;2;0
Jarmo Pihlajaniemi;Suomen Keskusta;Nivala;alempi korkeakoulututkinto;1955;suomi;suomi, englanti;male;2;0;0;2;1;0;3;3;1;3;0;0;1;0;2;0;2;2;3;1;2;1;1;0;0
Jarmo Pylkkö;Suomen Keskusta;Nivala;alempi korkeakoulututkinto;1977;suomi;suomi, englanti;male;3;1;3;3;3;3;2;2;0;3;2;3;3;3;1;2;2;2;2;0;3;0;2;3;3
Aleksi Päkkilä;Suomen Keskusta;Nivala;ylempi korkeakoulututkinto;1990;suomi;suomi, ruotsi, englanti;male;2;1;1;3;2;1;2;3;2;2;2;1;2;1;2;1;1;2;2;1;2;1;1;1;0
Juho Tölli;Suomen Keskusta;Nivala;ylempi korkeakoulututkinto;1981;suomi;suomi;male;2;2;1;2;1;0;3;3;3;1;0;1;3;0;2;2;0;2;2;1;1;1;0;2;0
Tuomas Viitala;Perussuomalaiset;Nivala;ammattitutkinto;1980;suomi;suomi, englanti;male;3;0;0;0;0;0;3;3;0;3;0;0;0;0;3;3;0;0;0;3;0;3;0;0;0
Jarmo Vuolteenaho;Suomen Keskusta;Nivala;alempi korkeakoulututkinto;1958;suomi;;male;2;1;0;3;1;0;2;0;2;2;1;1;2;0;1;2;1;2;2;2;2;1;1;1;0
Timo Vähäsöyrinki;Suomen Keskusta;Nivala;ammattitutkinto;1969;suomi;suomi;male;2;2;1;2;1;0;3;3;2;2;1;1;1;1;2;2;1;1;1;2;1;1;0;2;0
Noora Asell;Suomen Sosialidemokraattinen Puolue;Nousiainen;ylempi korkeakoulututkinto;1993;suomi;suomi, englanti;female;3;1;2;1;1;2;0;1;0;1;0;1;2;3;0;1;1;1;2;0;2;1;2;1;3
Outi Harka;PRO Nousiainen yhteislista;Nousiainen;alempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti;female;3;1;1;0;2;1;1;1;1;1;0;0;2;3;1;2;1;2;1;2;1;2;0;0;1
Jonna Heikkilä;Suomen Keskusta;Nousiainen;ammattitutkinto;1993;suomi;suomi;female;2;0;1;2;3;2;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2
Annika Heinonen;Kansallinen Kokoomus;Nousiainen;alempi korkeakoulututkinto;1982;suomi;suomi, englanti;female;1;3;2;2;3;2;2;3;1;3;0;2;0;3;0;1;1;0;2;0;1;0;0;0;3
Sirkku Huhti;PRO Nousiainen yhteislista;Nousiainen;alempi korkeakoulututkinto;1979;suomi;;female;3;1;2;2;2;2;2;2;1;2;0;0;2;2;1;0;0;2;2;1;1;1;0;1;2
Anu Huitu;Vasemmistoliitto;Nousiainen;alempi korkeakoulututkinto;1973;suomi;suomi;female;3;1;2;2;1;2;1;1;0;2;1;0;1;3;0;0;3;2;2;0;3;0;2;0;3
Katja Hultin;Suomen Keskusta;Nousiainen;ylioppilas;1978;suomi;suomi, englanti;female;2;1;1;2;2;2;2;2;1;2;1;1;1;2;1;1;1;2;1;1;2;1;2;2;1
Taija Iivonen;Suomen Keskusta;Nousiainen;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;female;2;1;1;0;3;2;2;1;3;3;0;3;2;3;2;2;2;1;2;1;1;0;1;0;0
Tiina Kankare;Kansallinen Kokoomus;Nousiainen;alempi korkeakoulututkinto;1972;suomi;suomi, ruotsi, englanti, ranska;female;2;3;1;2;1;0;2;3;2;0;0;3;3;3;1;3;0;3;3;1;1;0;1;1;1
Henna Keskikylä;PRO Nousiainen yhteislista;Nousiainen;ylempi korkeakoulututkinto;1986;suomi;suomi, englanti;female;3;1;3;3;3;3;1;1;1;0;1;1;2;2;1;1;3;0;2;0;3;0;3;1;3
Kreetta Kulonen;PRO Nousiainen yhteislista;Nousiainen;alempi korkeakoulututkinto;1983;suomi;suomi, ruotsi, englanti;female;1;0;1;2;3;2;1;1;1;2;0;1;1;3;0;1;2;1;3;0;1;0;2;0;3
Katri Lakkapää;PRO Nousiainen yhteislista;Nousiainen;alempi korkeakoulututkinto;1967;suomi;suomi, ruotsi, englanti, ranska;female;3;0;1;3;2;1;2;2;1;3;0;2;2;1;2;1;0;1;0;3;0;3;0;1;0
Minna Lampola;Suomen Keskusta;Nousiainen;peruskoulu;2006;suomi;suomi;female;3;2;3;3;1;0;2;1;0;1;1;0;2;1;0;0;1;3;1;3;1;2;3;0;2
Erika Mäkeläinen;Suomen Sosialidemokraattinen Puolue;Nousiainen;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti;female;3;0;2;2;2;1;2;1;1;2;1;0;2;2;1;1;1;2;2;1;2;1;1;1;2
Petra Pietilä;Vihreä liitto;Nousiainen;ylempi korkeakoulututkinto;1995;suomi;suomi, ruotsi, englanti, viittomakieli;female;2;1;2;2;1;2;2;1;2;1;1;1;2;2;0;1;2;2;3;0;3;0;2;1;3
Päivi Rantanen;Suomen Sosialidemokraattinen Puolue;Nousiainen;alempi korkeakoulututkinto;1975;suomi;englanti;female;3;0;3;2;3;1;1;3;3;3;1;2;0;3;0;0;2;1;3;0;2;0;0;1;3
Jenny-Maria Tuomisto;Suomen Sosialidemokraattinen Puolue;Nousiainen;ylempi korkeakoulututkinto;1986;suomi;suomi, ruotsi, englanti;female;3;1;3;2;3;1;3;2;1;2;0;0;2;2;1;1;2;3;2;0;2;0;2;0;3
Päivi Tölli;Suomen Sosialidemokraattinen Puolue;Nousiainen;ammattitutkinto;1962;suomi;suomi, ruotsi, englanti;female;2;2;1;2;1;1;3;1;0;2;1;1;1;2;1;1;1;2;1;1;2;2;1;1;1
Susanna Virtanen;Kansallinen Kokoomus;Nousiainen;alempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti;female;1;3;1;2;3;2;2;3;3;2;0;3;1;1;2;0;1;2;3;0;3;0;0;0;3
Lauri Ahonen;Kansallinen Kokoomus;Nousiainen;alempi korkeakoulututkinto;1981;suomi;suomi, englanti;male;1;2;1;1;1;1;2;2;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1
Antti Airikki;Suomen Keskusta;Nousiainen;ammattitutkinto;1963;suomi;suomi;male;3;1;1;2;3;0;2;2;0;3;0;3;1;0;2;3;1;1;2;1;1;1;0;1;0
Timo Antola;PRO Nousiainen yhteislista;Nousiainen;ammattitutkinto;1969;suomi;viro;male;2;0;1;2;2;0;2;2;1;2;0;1;2;0;2;2;0;1;2;2;1;2;0;1;1
Matti Anttila;Suomen Keskusta;Nousiainen;ammattitutkinto;1969;suomi;englanti;male;1;1;2;2;3;0;3;2;0;3;1;0;1;0;2;1;0;0;2;3;2;2;2;0;0
Tommi Hopia;Suomen Keskusta;Nousiainen;alempi korkeakoulututkinto;1988;suomi;suomi, ruotsi, englanti;male;2;1;1;2;2;0;3;2;2;2;0;1;0;0;0;2;1;2;1;1;1;2;1;1;1
Hannu Huitu;Vasemmistoliitto;Nousiainen;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti, saksa;male;2;1;1;1;1;1;0;1;1;2;1;1;2;1;1;1;1;2;2;0;2;0;2;0;2
Jukka Järvenpää;Suomen Sosialidemokraattinen Puolue;Nousiainen;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;male;3;1;1;2;2;2;1;2;1;2;0;1;2;2;1;1;1;2;2;1;2;1;2;1;3
Janne Lankila;Suomen Keskusta;Nousiainen;alempi korkeakoulututkinto;1991;suomi;suomi, ruotsi, englanti, saksa;male;2;1;1;1;2;1;0;2;3;2;0;2;2;2;1;1;1;0;1;1;0;1;0;2;3
Perttu Lassila;Suomen Keskusta;Nousiainen;ylioppilas;1983;suomi;suomi, englanti;male;2;1;1;2;2;1;2;2;1;2;1;0;2;1;1;1;1;1;2;2;1;1;1;2;1
Jani Lehtola;Kansallinen Kokoomus;Nousiainen;alempi korkeakoulututkinto;1974;suomi;suomi, englanti;male;1;3;1;0;1;1;1;3;1;0;0;1;2;1;1;3;0;1;1;3;1;2;1;1;0
Jyrki Lehtonen;Suomen Keskusta;Nousiainen;ammattitutkinto;1962;suomi;suomi, ruotsi, englanti, saksa;male;3;1;2;2;3;1;2;2;0;1;0;0;0;2;0;3;1;1;3;0;1;0;2;0;0
Pauli Lehtonen;Perussuomalaiset;Nousiainen;ammattitutkinto;1963;suomi;suomi, englanti;male;0;0;1;1;2;0;3;2;1;2;0;2;3;3;0;0;0;3;1;2;1;2;0;2;0
Hannu Mattila;Kansallinen Kokoomus;Nousiainen;ammattitutkinto;1952;suomi;;male;2;2;1;1;2;0;3;3;2;1;0;2;1;1;2;1;0;2;1;1;0;2;0;1;0
Petteri Paananen;Kansallinen Kokoomus;Nousiainen;ylioppilas;1971;suomi;suomi, ruotsi, englanti;male;2;3;1;1;2;2;2;3;3;0;1;1;3;3;1;1;0;1;2;1;2;1;0;2;1
Miska Peippo;PRO Nousiainen yhteislista;Nousiainen;alempi korkeakoulututkinto;1977;suomi;suomi, englanti;male;3;0;3;3;0;3;1;1;1;2;0;1;1;3;0;0;3;1;2;0;2;0;2;0;3
Reima Rantanen;Vasemmistoliitto;Nousiainen;peruskoulu;1962;suomi;;male;3;0;2;3;3;0;3;3;0;3;3;0;1;3;0;0;1;3;2;2;3;1;2;0;3
Toivo Suominen;Kansallinen Kokoomus;Nousiainen;ylempi korkeakoulututkinto;2001;suomi;suomi, ruotsi, englanti;male;0;3;0;0;0;0;2;3;3;1;0;3;0;1;2;3;0;0;2;2;0;2;0;1;0
Mikko Taavitsainen;Perussuomalaiset;Nousiainen;ammattitutkinto;1976;suomi;suomi, englanti;male;3;0;1;2;2;0;2;3;2;3;1;0;0;0;1;3;0;3;0;3;0;3;0;0;0
Joni Varjo;Suomen Sosialidemokraattinen Puolue;Nousiainen;alempi korkeakoulututkinto;1989;suomi;suomi, englanti;male;3;1;3;0;1;3;0;2;0;1;0;1;2;3;0;1;1;0;3;0;2;0;2;1;3
Mia Aho;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1972;suomi;suomi, englanti;female;3;2;1;2;1;2;2;1;1;2;2;1;1;2;0;1;2;3;1;2;2;2;2;1;1
Taina Ahonen;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1970;suomi;suomi, englanti;female;1;2;1;2;1;0;3;3;1;2;1;1;1;2;0;2;1;1;2;1;2;1;1;1;1
Sinikka Ekonen;Suomen Keskusta;Mäntsälä;ylempi korkeakoulututkinto;1966;suomi;ruotsi, englanti;female;2;1;1;3;2;2;2;2;2;2;1;1;1;2;1;1;1;2;2;1;2;1;1;1;2
Maria Eloranta;Suomen Keskusta;Mäntsälä;ylioppilas;1983;suomi;suomi, ruotsi;female;1;1;2;2;1;1;1;1;2;2;1;0;1;2;1;1;1;3;2;1;2;1;2;1;2
Heli Hallikainen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ammattitutkinto;1972;suomi;suomi, ruotsi, englanti, ranska, espanja;female;3;1;2;2;2;1;3;2;1;3;1;0;1;3;1;1;1;3;2;1;3;1;2;0;2
Sirpa Halonen;Suomen Keskusta;Mäntsälä;alempi korkeakoulututkinto;1967;suomi;suomi, englanti;female;3;2;2;2;2;2;2;2;2;2;1;1;0;2;1;1;2;2;1;2;1;2;1;1;2
Katri Heinmurto;Suomen Keskusta;Mäntsälä;ylempi korkeakoulututkinto;1973;suomi;suomi, ruotsi, englanti, saksa;female;2;1;2;2;2;0;2;2;2;1;2;1;1;1;1;2;1;2;2;1;2;1;1;1;1
Kirsi (Kirsikka) Hirvonen-Uusitupa;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1956;suomi;suomi, ruotsi, englanti;female;2;0;2;1;2;1;2;2;1;2;0;1;0;2;1;1;1;3;1;1;1;1;2;1;0
Heidi Hoffman;Kansallinen Kokoomus;Mäntsälä;alempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;1;2;1;1;0;2;1;2;2;2;0;2;1;2;0;0;2;1;3;0;3;1;1;0;3
Marjo Hovila;Kansallinen Kokoomus;Mäntsälä;ammattitutkinto;1982;suomi;suomi;female;3;1;2;3;1;1;2;3;2;2;0;3;2;2;2;2;2;1;2;2;2;3;1;3;2
Tanja Huittinen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1972;suomi;suomi, englanti;female;2;1;3;3;2;2;1;1;2;3;2;1;2;2;1;0;1;2;2;0;3;1;2;0;2
Vera Huser;Suomen Sosialidemokraattinen Puolue;Mäntsälä;joku muu;1982;jokin muu;suomi, englanti, saksa, ranska, joku muu;female;2;1;2;2;1;1;0;2;1;2;1;1;0;1;2;1;1;1;2;2;1;0;2;2;3
Leea Häkkänen;Vapauden liitto;Mäntsälä;ammattitutkinto;1980;suomi;englanti;female;3;0;1;3;1;0;2;2;2;3;1;1;0;2;1;2;0;3;0;3;0;3;0;1;0
Katariina Hämäläinen;Suomen Keskusta;Mäntsälä;ammattitutkinto;1976;suomi;;female;3;1;3;2;1;1;3;2;2;3;1;0;1;2;0;0;1;3;2;1;2;1;2;0;1
Katri Jauhiainen;Perussuomalaiset;Mäntsälä;alempi korkeakoulututkinto;1980;suomi;suomi, englanti;female;3;1;2;1;1;0;2;2;2;3;1;1;0;2;1;2;0;1;1;1;0;3;0;1;0
Johanna Joensuu .SIT;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, saksa;female;2;1;1;1;1;2;2;2;1;2;0;1;1;1;1;2;1;1;2;2;2;1;1;1;2
Heidi Jokinen;Suomen Keskusta;Mäntsälä;ylioppilas;1982;suomi;suomi, ruotsi, englanti;female;2;1;1;2;1;1;2;2;2;2;1;1;2;2;1;2;1;2;2;1;1;1;1;1;2
Nina Järvinen;Suomen Keskusta;Mäntsälä;joku muu;1970;suomi;englanti;female;3;0;2;2;1;2;2;2;2;3;1;1;0;3;0;1;0;3;2;2;1;0;0;1;1
Pihla Keto-huovinen;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;2;1;3;1;0;1;2;3;2;1;2;1;2;2;1;1;1;2;2;1;2;1;2;1;2
Susanna Koivula;Suomen Kristillisdemokraatit (KD);Mäntsälä;alempi korkeakoulututkinto;1985;suomi;suomi, ruotsi, englanti;female;1;1;2;3;1;0;3;2;2;1;0;1;0;1;0;1;0;1;2;1;1;1;0;0;0
Maria Kokko;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1986;suomi;suomi, englanti;female;3;1;2;2;0;1;1;2;3;2;0;1;1;2;0;2;0;2;3;1;2;0;0;1;1
Päivi Koski;Vasemmistoliitto;Mäntsälä;ylempi korkeakoulututkinto;1957;suomi;suomi, ruotsi, englanti, venäjä, espanja;female;3;2;1;0;0;2;2;1;0;2;0;0;1;3;0;1;2;2;3;0;2;0;2;0;2
Tuuli Koski;Vasemmistoliitto;Mäntsälä;ylempi korkeakoulututkinto;1993;suomi;suomi, ruotsi, englanti;female;3;2;0;0;0;1;2;0;0;1;0;0;2;3;0;1;1;1;3;0;3;0;2;1;2
Siiri Laaksonen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ylioppilas;2006;suomi;suomi, ruotsi, englanti;female;3;1;3;2;3;2;2;2;2;0;1;0;1;2;1;0;2;3;2;2;3;1;2;0;3
Tytti Laine;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ammattitutkinto;1983;suomi;;female;3;1;2;1;0;1;1;2;2;2;0;2;1;2;0;1;2;2;1;1;1;1;1;1;1
Satu Lampi;Perussuomalaiset;Mäntsälä;ammattitutkinto;1969;suomi;suomi, englanti;female;3;0;2;3;2;0;3;2;1;2;1;1;1;1;1;0;0;2;2;2;0;2;1;1;0
Eija Lepistö;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ylempi korkeakoulututkinto;1954;suomi;suomi, ruotsi, englanti;female;3;1;2;1;2;1;2;1;1;3;1;2;1;2;0;1;1;2;2;0;2;1;2;2;2
Satumaija Levón;Suomen Keskusta;Mäntsälä;alempi korkeakoulututkinto;1984;suomi;;female;2;0;1;2;2;1;1;2;2;2;1;2;1;2;1;1;1;2;2;1;1;1;1;1;2
Eveliina Luomanen-kurki;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1989;suomi;suomi, ruotsi, englanti;female;3;1;3;2;0;2;2;3;2;1;1;1;2;3;0;1;1;2;3;0;2;1;2;1;2
Aida Lutfi;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1996;suomi;suomi, englanti;female;2;2;2;1;1;1;2;2;2;1;2;2;1;2;2;1;1;2;2;1;2;1;1;1;2
Katri Manninen;Suomen Keskusta;Mäntsälä;ylempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, saksa, ranska, espanja, italia, viro;female;2;0;2;3;2;0;3;2;1;2;0;1;1;2;1;1;0;3;2;2;2;2;1;0;2
Marjaana Manninen;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1963;suomi;suomi, ruotsi, englanti, ranska;female;3;2;1;2;0;2;2;2;0;3;2;1;2;0;0;2;0;2;2;1;2;0;2;2;0
Johanna Mieskolainen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ylempi korkeakoulututkinto;1984;suomi;suomi, ruotsi, englanti, saksa;female;3;0;2;3;1;0;3;2;1;1;1;0;1;1;0;0;1;3;2;1;3;1;2;0;1
Mari Männynväli;Suomen Keskusta;Mäntsälä;alempi korkeakoulututkinto;1994;suomi;suomi, ruotsi, englanti;female;2;1;2;3;2;1;2;2;2;1;1;1;1;2;0;0;1;1;2;2;1;2;2;1;1
Hannele Nyfors;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ammattitutkinto;1957;suomi;suomi, ruotsi, englanti;female;2;2;1;1;1;2;2;1;0;2;2;1;2;3;1;1;0;2;3;1;3;1;2;2;2
Satu Orajärvi;Vihreä liitto;Mäntsälä;alempi korkeakoulututkinto;1975;suomi;suomi, ruotsi, englanti, joku muu;female;3;1;2;3;2;3;2;1;1;2;0;0;2;3;0;0;2;2;3;0;2;0;2;1;2
Annika Peltola;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ammattitutkinto;1969;suomi;suomi, englanti;female;2;1;2;0;2;2;2;1;0;3;1;0;1;2;1;1;2;3;2;1;3;0;0;0;2
Hanna Pitkämäki;Suomen Keskusta;Mäntsälä;ylempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti, saksa;female;3;1;2;3;2;2;2;2;1;3;2;2;1;2;1;1;2;3;2;1;3;0;1;2;2
Enni Pöykkö;Suomen Keskusta;Mäntsälä;alempi korkeakoulututkinto;1976;suomi;suomi, ruotsi, englanti;female;2;1;2;3;2;0;3;1;2;2;1;2;2;2;0;1;2;2;3;0;3;0;2;2;0
Terhi Sievinen;Suomen Keskusta;Mäntsälä;ammattitutkinto;1971;suomi;suomi;female;2;1;1;2;1;0;2;2;2;2;0;1;1;2;2;1;1;2;2;1;2;2;1;0;0
Mirja Siljander;Vasemmistoliitto;Mäntsälä;ylioppilas;1946;suomi;suomi, ruotsi, englanti;female;3;2;2;1;1;0;1;1;1;3;0;1;2;3;1;2;2;2;3;0;3;0;2;0;3
Taija Ståhlberg;Vihreä liitto;Mäntsälä;ylioppilas;1977;suomi;suomi, englanti;female;2;2;3;1;0;3;0;1;1;1;0;1;1;3;0;0;2;3;2;0;3;0;2;2;3
Tuuli Särkijärvi;Vihreä liitto;Mäntsälä;alempi korkeakoulututkinto;1988;suomi;suomi;female;2;2;3;1;0;3;2;0;2;1;0;0;2;3;0;0;3;2;3;0;3;0;3;0;3
Liisa Tamminen;Vasemmistoliitto;Mäntsälä;ylioppilas;1978;suomi;suomi, englanti;female;3;2;3;1;1;2;0;1;1;3;2;0;2;3;0;1;3;3;3;0;3;0;3;0;3
Annina Tarkiainen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1975;suomi;suomi, englanti;female;3;0;2;3;3;0;3;0;2;3;1;0;1;1;0;1;1;3;2;0;2;0;2;1;3
Suvi Timonen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;2;2;2;1;1;2;1;1;1;2;0;0;1;3;1;1;2;2;3;0;2;0;2;1;3
Sari Toiviainen;Suomen Keskusta;Mäntsälä;ammattitutkinto;1977;suomi;suomi;female;2;2;2;2;2;1;2;2;1;2;0;2;1;2;1;1;1;1;2;1;2;1;1;2;1
Emmi Tuomisto;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1988;suomi;suomi;female;3;1;2;1;1;1;2;1;1;3;1;0;2;2;1;0;2;2;2;1;3;0;1;0;2
Maarit Turunen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;ylioppilas;1969;suomi;suomi;female;1;1;1;1;0;0;2;1;0;2;0;1;2;3;1;2;0;2;0;2;2;3;1;2;0
Pirjo Vainio;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1959;suomi;;female;2;1;1;2;1;1;1;2;2;2;1;1;2;2;1;2;1;2;2;1;2;1;1;2;1
Siru Vainio;Suomen Keskusta;Mäntsälä;ammattitutkinto;1981;suomi;suomi;female;2;0;2;2;1;0;2;1;1;2;0;1;1;2;1;2;1;1;2;1;2;1;1;1;2
Tarja Vierikko;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1960;suomi;suomi;female;3;1;2;2;2;1;3;1;1;2;1;3;1;1;2;2;1;2;1;1;2;2;1;2;1
Merja Vikman-kanerva;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1951;suomi;suomi, ruotsi, englanti, saksa;female;2;2;3;0;0;1;3;2;1;1;0;2;2;1;1;2;0;0;2;1;2;1;1;1;1
Raisa Välimäki-kuronen;Suomen Sosialidemokraattinen Puolue;Mäntsälä;alempi korkeakoulututkinto;1988;suomi;englanti;female;3;1;2;3;1;2;2;1;1;3;1;1;0;3;1;1;1;2;2;0;2;1;1;1;3
Anu Välitalo;Vasemmistoliitto;Mäntsälä;ylempi korkeakoulututkinto;1974;suomi;suomi, ruotsi, englanti;female;3;2;2;2;0;2;2;1;0;2;0;1;2;3;1;0;2;2;3;0;2;0;2;0;3
Heidi Warelius;Suomen ruotsalainen kansanpuolue;Mäntsälä;ammattitutkinto;1959;ruotsi;suomi, ruotsi, englanti;female;2;1;2;2;1;1;2;2;2;2;1;2;1;2;1;1;2;2;2;1;1;1;1;1;1
Annika Warras-Stjernvall;Kansallinen Kokoomus;Mäntsälä;ylempi korkeakoulututkinto;1958;ruotsi;suomi, ruotsi, englanti;female;2;1;2;3;1;1;2;2;3;1;1;0;0;1;2;2;1;2;2;0;1;1;2;1;2
Jonna Yli-Viikari;Vasemmistoliitto;Mäntsälä;alempi korkeakoulututkinto;1976;suomi;;female;2;1;3;3;0;2;2;1;0;3;1;0;0;3;0;1;2;2;3;0;3;0;0;3;3
Jussi Aalto;Suomen Keskusta;Mäntsälä;ammattitutkinto;1981;ruotsi;suomi, englanti, saksa;male;2;0;1;3;2;0;3;2;2;2;1;2;1;0;2;2;0;3;1;2;0;2;1;0;0
Ilkka Allonen;Suomen Keskusta;Mäntsälä;ammattitutkinto;1964;suomi;;male;2;0;2;3;1;0;2;2;1;2;1;1;0;0;1;1;0;2;2;1;2;1;1;1;1
