Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Santeri Kenttä,Sit,Espoo,ylempi korkeakoulututkinto,1963,suomi,male,2,0,2,1,0,2,2,2,2,1,0,1,0,3,0,0,2,3,2,0,2,2,3,1,2
Hannu Keskitalo,PS,Espoo,ylempi korkeakoulututkinto,1974,suomi,male,3,2,0,2,0,0,3,3,3,2,0,2,0,1,2,2,0,1,1,0,1,2,0,3,0
Joel Kettula,Kok.,Espoo,ylempi korkeakoulututkinto,1993,suomi,male,3,2,3,1,0,2,3,3,3,2,0,2,0,3,0,0,0,2,1,2,1,0,2,0,3
Muzaffardjon Khudoikulov,SDP,Espoo,ylempi korkeakoulututkinto,1978,jokin muu,male,2,2,1,3,1,0,2,2,2,2,2,2,2,2,1,1,2,1,3,1,2,1,2,2,1
Timo Kilpiäinen,Vihr.,Espoo,ylioppilas,1981,suomi,male,3,1,2,3,1,2,1,1,1,2,1,1,2,3,1,1,2,3,2,1,2,1,3,0,3
Jukka Kivimäki,SDP,Espoo,ylempi korkeakoulututkinto,1964,suomi,male,3,0,2,2,1,1,2,1,0,2,1,1,3,3,1,1,2,3,2,0,3,0,1,1,1
Jari Koivisto,Lib.,Espoo,joku muu,1986,suomi,male,3,2,2,1,1,1,1,3,3,0,0,2,0,2,2,2,1,0,2,2,0,2,0,3,0
Kalle Konttinen,SDP,Espoo,ylempi korkeakoulututkinto,1974,suomi,male,1,1,2,2,1,2,0,1,2,2,0,2,3,2,1,1,1,2,3,0,2,0,1,0,2
Ville Kopra,SDP,Espoo,ylempi korkeakoulututkinto,1980,suomi,male,2,2,3,0,0,3,1,1,2,2,3,2,2,2,0,1,2,3,3,0,3,0,2,2,3
Teemu Korhonen,Vihr.,Espoo,ylempi korkeakoulututkinto,1980,suomi,male,1,1,2,1,0,2,2,1,3,2,0,2,0,3,0,0,3,1,1,2,2,1,1,3,2
Jarkko Korpi,PS,Espoo,ammattitutkinto,1968,suomi,male,3,1,2,1,1,0,2,2,1,2,1,0,1,1,1,2,0,2,2,1,2,2,2,0,2
Joona Koski,SDP,Espoo,joku muu,2006,suomi,male,3,1,2,2,1,1,0,3,3,2,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1
Jussi Koskinen,Kok.,Espoo,ylempi korkeakoulututkinto,1963,suomi,male,1,2,2,2,1,0,3,3,3,0,2,1,2,1,1,3,0,2,1,1,0,3,0,2,1
Jarkko Koste,PS,Espoo,ammattitutkinto,1968,suomi,male,2,2,0,3,2,0,0,2,0,3,0,1,1,2,1,1,0,2,0,3,1,3,0,1,0
Kimmo Kotro,Vihr.,Espoo,ylempi korkeakoulututkinto,1975,suomi,male,3,1,3,2,0,3,2,1,2,2,0,0,0,3,0,1,3,3,3,0,3,1,1,0,3
Tuukka Kotti,KD,Espoo,alempi korkeakoulututkinto,1981,suomi,male,2,1,1,3,1,1,3,2,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,0,0
Sakari Kouti,Vihr.,Espoo,ylempi korkeakoulututkinto,1961,suomi,male,2,2,2,3,0,1,2,2,2,1,1,1,0,2,1,1,2,2,2,1,2,0,2,1,1
John Kraemer,PS,Espoo,alempi korkeakoulututkinto,1961,suomi,male,3,1,2,2,2,1,2,0,3,3,1,2,0,2,1,2,1,2,2,2,2,2,2,2,2
Jukka Kuisma,Lib.,Espoo,alempi korkeakoulututkinto,1982,suomi,male,2,2,1,2,0,1,2,2,2,1,0,2,1,2,1,1,1,1,3,1,1,1,1,2,2
Anton Kumpulainen,Kok.,Espoo,alempi korkeakoulututkinto,1995,suomi,male,2,1,2,2,1,0,2,3,3,1,0,2,1,1,2,2,2,2,1,1,1,1,1,2,1
Reima Kuukka,Vihr.,Espoo,ylempi korkeakoulututkinto,1995,suomi,male,3,1,2,0,0,3,0,1,3,3,0,1,3,3,0,0,3,3,3,0,3,0,2,0,3
Janne Kylli,Vihr.,Espoo,alempi korkeakoulututkinto,1971,suomi,male,3,1,3,2,1,2,1,2,0,1,0,2,0,3,0,0,3,3,2,0,2,1,2,1,3
Kimmo Kyrölä,Vihr.,Espoo,ylempi korkeakoulututkinto,1982,suomi,male,2,1,2,1,0,2,1,0,2,2,0,1,1,3,1,0,3,3,3,0,2,0,2,1,3
Mikko Laakso,Kok.,Espoo,ylempi korkeakoulututkinto,1992,suomi,male,1,2,2,1,0,0,2,3,2,0,0,1,1,2,1,3,2,1,2,2,0,2,1,2,2
Ville Laakso,Kok.,Espoo,ylempi korkeakoulututkinto,1991,suomi,male,2,2,2,1,0,3,1,2,2,1,0,2,2,3,0,0,3,3,3,1,1,1,1,2,3
Robert Lagus,RKP,Espoo,ylempi korkeakoulututkinto,1983,ruotsi,male,3,0,3,2,0,2,2,2,2,3,2,3,1,1,1,0,3,0,2,0,1,0,1,0,3
