Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Kaija Hannula,Kesk.,Alavieska,ylempi korkeakoulututkinto,1965,suomi,female,2,2,2,2,1,1,2,2,2,1,1,0,1,2,1,1,2,2,3,1,2,1,1,1,1
Anne Huttunen,PS,Alavieska,ylioppilas,1964,suomi,female,2,0,0,2,0,1,3,2,2,3,1,1,0,3,0,0,1,3,1,2,1,1,1,3,0
Heli Kantola,Kesk.,Alavieska,alempi korkeakoulututkinto,1982,suomi,female,3,2,2,2,2,0,1,2,2,2,1,1,2,2,1,1,0,1,1,1,1,1,1,2,1
Karita Koutonen-simonen,Sit,Alavieska,ammattitutkinto,1985,suomi,female,3,0,3,1,1,0,2,2,2,2,2,1,0,2,1,1,2,3,2,1,2,1,2,0,2
Jaana Nyman,PS,Alavieska,ylempi korkeakoulututkinto,1980,suomi,female,2,2,1,1,1,1,1,2,2,2,0,0,1,2,1,1,1,2,2,1,2,1,1,2,0
Heikki Hintsala,Sit,Alavieska,ammattitutkinto,1969,suomi,male,2,1,2,3,2,0,3,2,2,0,1,0,1,0,2,2,0,2,1,1,1,2,0,1,0
Mika Häkkinen,Kesk.,Alavieska,alempi korkeakoulututkinto,1973,suomi,male,3,2,1,1,2,1,1,2,0,2,1,1,1,3,1,1,1,3,2,1,2,0,1,1,2
Risto Isokääntä,Sit,Alavieska,ammattitutkinto,1976,suomi,male,3,0,2,3,2,0,2,3,3,3,0,0,0,3,0,0,0,3,3,0,3,1,1,0,0
Perttu Isotalus,Kesk.,Alavieska,ammattitutkinto,1986,suomi,male,2,2,3,3,3,0,3,2,1,2,1,2,1,1,1,0,1,2,1,1,1,1,1,0,0
Lauri Jääskelä,Kesk.,Alavieska,ylioppilas,1965,suomi,male,2,2,1,2,1,0,3,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1
Matti Luonuansuu,Vas.,Alavieska,alempi korkeakoulututkinto,1982,suomi,male,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,3,1,2,0,3
Heikki Malinen,PS,Alavieska,joku muu,1976,suomi,male,2,0,0,0,2,0,3,3,2,3,2,2,1,1,0,2,0,0,1,3,0,2,0,3,0
Jarmo Nahkala,Kesk.,Alavieska,ammattitutkinto,1966,suomi,male,1,2,1,3,2,0,3,2,3,0,2,0,1,0,3,2,0,2,2,1,2,1,1,1,0
Jarkko Pehkonen,PS,Alavieska,ammattitutkinto,1966,suomi,male,2,1,1,3,2,0,3,2,1,2,0,1,0,3,0,1,0,3,2,2,2,1,0,2,0
Olli Pudas,Kesk.,Alavieska,ammattitutkinto,1995,suomi,male,3,0,0,3,2,0,2,3,2,1,1,1,0,3,3,2,1,3,2,1,3,1,2,0,2
Simo Pudas,KD,Alavieska,ammattitutkinto,1990,suomi,male,2,1,1,2,2,0,2,2,2,2,1,1,0,2,0,1,0,1,2,1,2,2,1,1,0
Mika Rajaniemi,Sit,Alavieska,alempi korkeakoulututkinto,1970,suomi,male,2,1,0,2,2,0,2,2,0,2,0,1,1,2,2,1,1,2,0,1,1,2,0,1,0
Sakari Siitonen,Kesk.,Alavieska,alempi korkeakoulututkinto,1995,suomi,male,2,1,1,3,2,0,3,2,2,3,0,0,1,2,1,2,1,1,1,1,2,2,0,1,0
Jyrki Vääräkoski,Kesk.,Alavieska,ammattitutkinto,1985,suomi,male,2,1,1,3,2,0,1,2,1,1,0,0,1,0,2,1,0,2,3,0,1,1,1,1,0
Veera Heinonen,Vas.,Asikkala,ylempi korkeakoulututkinto,1990,suomi,female,3,1,3,3,2,3,2,0,0,3,0,1,1,3,0,0,3,3,3,0,3,0,3,0,2
Mari Jänisniemi-honkala,Vas.,Asikkala,joku muu,1964,suomi,female,3,0,2,2,2,0,2,2,2,2,1,3,0,3,0,1,1,3,1,1,1,1,1,1,1
Maarika Karjalainen,Liik.,Asikkala,alempi korkeakoulututkinto,1971,suomi,female,2,1,1,2,1,0,2,2,3,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1
Riihilahti Katja irene,Kok.,Asikkala,alempi korkeakoulututkinto,1976,suomi,female,3,2,0,2,1,1,2,3,3,2,1,0,0,2,2,1,1,1,2,1,2,1,1,1,3
Saana Kunttu,Kesk.,Asikkala,ylioppilas,1982,suomi,female,2,0,0,1,2,0,3,1,2,2,0,1,0,3,0,1,0,3,2,2,0,2,1,0,0
Heini Laitinen,Kesk.,Asikkala,ylioppilas,2006,suomi,female,0,2,0,2,1,1,1,2,1,3,0,1,0,1,2,1,2,1,2,1,3,1,1,0,1
Anne Laukkanen,Sit,Asikkala,ammattitutkinto,1962,suomi,female,2,2,2,2,1,1,2,2,1,3,1,2,1,2,2,0,1,3,2,1,2,1,2,1,2
Heidi-elina Mantere,PS,Asikkala,alempi korkeakoulututkinto,1979,suomi,female,3,0,0,1,0,0,3,2,1,2,1,0,1,2,1,2,0,3,1,3,1,2,1,1,0
Merja Palokangas-viitanen,Kok.,Asikkala,ylioppilas,1955,suomi,female,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,0,2,1,1,1,1,1,0,0
Liisa Peltonen,Vas.,Asikkala,ylempi korkeakoulututkinto,1985,suomi,female,3,0,1,2,2,3,0,1,0,3,0,0,2,3,0,0,3,2,3,0,2,0,2,0,3
Emma Rautava,Vihr.,Asikkala,ylempi korkeakoulututkinto,1989,suomi,female,2,1,1,0,1,2,0,1,2,2,0,0,1,3,0,0,3,3,3,0,2,0,1,0,3
Henna Rautavuo-Hätönen,Sit,Asikkala,alempi korkeakoulututkinto,1979,suomi,female,1,2,1,3,0,0,3,3,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1
Sarita Saloheimo,Kok.,Asikkala,alempi korkeakoulututkinto,1925,suomi,female,3,1,0,1,0,0,3,1,2,1,0,1,0,3,0,0,0,3,2,3,0,1,1,2,0
Sini Sipponen,Kesk.,Asikkala,ammattitutkinto,1993,suomi,female,3,0,2,1,2,1,1,1,2,3,1,0,0,1,1,1,1,3,2,1,2,1,1,1,2
Tarja Tornio,Kesk.,Asikkala,alempi korkeakoulututkinto,1954,suomi,female,3,0,0,3,2,2,0,1,1,1,1,0,0,0,0,0,2,2,3,0,2,0,0,2,0
Veera Varjola,Sit,Asikkala,ylempi korkeakoulututkinto,1981,suomi,female,2,2,2,1,1,1,2,2,2,1,0,2,0,2,0,0,0,1,2,2,1,1,0,1,0
Terhi Vesterinen,Vihr.,Asikkala,ylempi korkeakoulututkinto,1958,suomi,female,3,2,2,1,1,3,0,1,1,3,0,0,1,3,0,0,3,2,3,0,3,1,1,2,2
Juha Hyttinen,Kok.,Asikkala,ammattitutkinto,1964,suomi,male,3,3,1,0,2,0,2,3,0,3,0,0,1,2,1,0,0,3,1,2,2,1,1,0,0
Viljanen Ilkka antero,Kok.,Asikkala,ammattitutkinto,1960,suomi,male,2,2,0,2,1,0,3,2,2,1,0,2,0,1,1,1,1,2,2,1,1,1,1,2,0
Sampsa Ilmonen,Kok.,Asikkala,alempi korkeakoulututkinto,1984,suomi,male,2,2,1,3,1,1,3,2,2,2,0,0,0,3,0,1,0,1,1,2,2,1,2,0,0
Petri Jokinen,Kok.,Asikkala,ylioppilas,1963,suomi,male,2,2,1,1,1,0,3,2,3,1,1,2,1,1,1,3,0,2,0,3,0,3,0,1,0
Jukka Julin,Kok.,Asikkala,ammattitutkinto,1966,suomi,male,3,1,1,1,0,2,1,2,1,3,1,3,1,3,2,1,3,2,2,0,2,1,1,1,2
Risto Kailaniemi,PS,Asikkala,alempi korkeakoulututkinto,1957,suomi,male,2,0,1,1,1,0,3,2,2,2,2,1,1,0,1,3,0,2,2,3,1,2,0,1,0
Kari Kallio,KD,Asikkala,ylempi korkeakoulututkinto,1951,suomi,male,2,1,1,2,3,1,3,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,1,0
Kari Kilpinen,Vihr.,Asikkala,ylempi korkeakoulututkinto,1955,suomi,male,3,1,2,2,2,2,2,1,2,1,0,1,1,3,1,1,3,2,2,1,2,1,2,1,2
Leevi Kivistö,Kok.,Asikkala,ammattitutkinto,2001,suomi,male,2,2,2,2,2,0,2,2,2,2,1,1,1,0,2,2,1,0,1,2,1,2,1,1,0
Valtteri Kurki,Vas.,Asikkala,alempi korkeakoulututkinto,1978,suomi,male,2,1,1,2,3,1,0,1,1,3,0,2,0,3,0,1,2,2,2,0,2,1,1,2,2
Jani Kurtelius,Kok.,Asikkala,ylempi korkeakoulututkinto,1972,suomi,male,3,1,2,3,3,1,1,2,3,2,0,0,2,3,0,0,2,1,3,0,2,0,2,0,2
Martti Lehto,Kok.,Asikkala,ylempi korkeakoulututkinto,1943,suomi,male,2,2,2,2,1,1,2,3,2,3,2,0,1,3,0,1,1,1,1,0,1,0,2,2,0
Ari- Lindeberg,Kesk.,Asikkala,ammattitutkinto,1967,suomi,male,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1
Yrjö Mattila,SDP,Asikkala,ylempi korkeakoulututkinto,1947,suomi,male,3,2,1,2,2,1,1,0,0,2,2,1,2,3,1,1,1,2,2,0,3,0,2,0,1
Pasi Murto,Kesk.,Asikkala,ammattitutkinto,1964,suomi,male,3,1,1,3,2,0,2,2,1,0,2,1,2,2,1,0,1,3,2,0,2,1,0,1,0
Roni-eemil Norrbacka,Kok.,Asikkala,ylioppilas,2005,suomi,male,2,2,0,2,0,0,2,2,3,1,0,1,0,2,1,2,2,1,2,2,2,1,1,1,1
Sami Polvela,Sit,Asikkala,alempi korkeakoulututkinto,1973,suomi,male,2,1,2,2,3,1,3,2,3,1,0,1,1,3,1,0,1,3,2,1,1,1,1,1,0
Mika Rantala,Kok.,Asikkala,joku muu,1973,suomi,male,1,2,0,0,0,1,1,3,1,0,3,1,1,2,0,2,1,2,3,1,1,1,2,2,0
Juha Rautava,Kok.,Asikkala,ammattitutkinto,1970,suomi,male,3,3,2,3,2,0,3,0,0,0,2,0,1,0,2,2,0,1,2,1,3,1,0,0,0
Tuomo-tapani Riihilahti,Kok.,Asikkala,alempi korkeakoulututkinto,1972,suomi,male,2,2,1,2,0,0,2,3,3,1,2,1,1,0,1,1,0,1,2,2,1,2,0,1,1
Markku Salomaa,PS,Asikkala,joku muu,1962,suomi,male,1,3,0,3,2,0,2,3,3,1,0,2,2,3,2,0,0,2,0,3,0,3,1,2,0
Tuomo Sarena,Kok.,Asikkala,peruskoulu,1966,suomi,male,2,2,1,2,1,0,2,3,2,3,2,1,0,0,2,1,2,3,2,1,0,1,1,1,0
Kari Savola,Kesk.,Asikkala,ammattitutkinto,1962,suomi,male,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,0,2,0
Toni Seppälä,PS,Asikkala,ammattitutkinto,1975,suomi,male,3,1,0,3,3,0,3,2,1,3,3,0,1,3,1,2,0,3,0,3,0,3,1,0,0
Hannu Siivonen,Vas.,Asikkala,ammattitutkinto,1982,suomi,male,3,0,3,3,0,3,2,0,0,3,0,2,0,3,0,0,3,3,3,0,3,0,2,0,3
Reko Tupala,Kesk.,Asikkala,joku muu,1977,suomi,male,2,1,2,1,0,1,1,2,1,2,0,2,0,0,1,1,1,2,2,1,1,2,0,0,1
Heikki Vahto,Kesk.,Asikkala,alempi korkeakoulututkinto,1957,suomi,male,2,2,1,2,1,0,3,2,2,1,2,0,0,0,1,1,0,3,3,1,1,1,0,1,0
Rami Virlander,Vihr.,Asikkala,ylempi korkeakoulututkinto,1977,suomi,male,2,1,2,2,2,2,2,1,2,2,1,1,1,3,1,1,2,3,3,0,2,0,2,1,3
Immo Virtanen,Sit,Asikkala,ammattitutkinto,1958,suomi,male,1,2,1,2,0,1,3,1,3,0,0,0,1,1,2,2,0,2,2,0,1,1,0,1,1
Markku Vuorio,Vihr.,Asikkala,ylempi korkeakoulututkinto,1958,suomi,male,2,1,2,2,2,2,2,1,1,1,0,0,2,3,1,1,2,3,2,1,2,0,1,0,2
Siiri Ahopelto,Kesk.,Alajärvi,ammattitutkinto,1992,suomi,female,2,2,1,2,2,1,2,2,2,2,0,0,1,3,1,1,1,2,2,1,2,1,1,0,1
Maria Averjanov,Kok.,Alajärvi,alempi korkeakoulututkinto,1982,suomi,female,2,2,1,1,2,2,0,2,2,2,0,1,1,3,2,2,0,2,2,0,2,0,2,2,1
Heli Hämäläinen,Vihr.,Alajärvi,ylempi korkeakoulututkinto,1978,suomi,female,3,1,2,1,2,2,0,1,2,1,0,1,0,3,0,0,1,1,3,0,2,0,2,1,2
Helena Kallio,Sit,Alajärvi,ylempi korkeakoulututkinto,1965,suomi,female,3,1,2,2,1,0,3,1,2,3,1,0,1,2,1,1,1,2,2,0,2,1,1,1,0
Leena Kamunen,Kesk.,Alajärvi,ylempi korkeakoulututkinto,1973,suomi,female,0,1,0,2,2,0,2,2,3,2,0,1,2,1,1,1,1,2,2,1,3,0,1,2,0
Aino Kanervikkoaho-kataja,KD,Alajärvi,alempi korkeakoulututkinto,1959,suomi,female,3,2,1,3,3,0,3,2,2,2,1,2,2,3,0,1,0,2,2,2,2,1,1,3,0
Hanna Kaunisto,Vihr.,Alajärvi,alempi korkeakoulututkinto,1978,suomi,female,3,2,1,1,2,1,1,1,2,2,0,1,1,3,1,1,2,1,3,0,2,0,1,2,2
Jaana Koivukoski,Kok.,Alajärvi,ylempi korkeakoulututkinto,1981,suomi,female,2,0,3,2,0,0,1,3,3,2,0,0,0,1,0,2,0,3,3,0,2,0,0,0,1
Eeva-Liisa Kolonen,Kesk.,Alajärvi,ylempi korkeakoulututkinto,1972,suomi,female,3,1,2,3,2,2,3,2,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1
Jenni Kuisti,Vihr.,Alajärvi,ylempi korkeakoulututkinto,1985,suomi,female,2,2,2,1,1,2,1,1,1,2,0,1,1,2,1,1,2,2,2,0,2,1,2,1,3
Tiina Kämäräinen,KD,Alajärvi,alempi korkeakoulututkinto,1972,suomi,female,3,1,3,1,2,1,3,3,0,2,0,1,1,1,1,1,1,2,2,1,1,2,1,1,0
Miia Laitinen,PS,Alajärvi,ammattitutkinto,1988,suomi,female,3,0,0,3,2,0,3,2,3,2,0,0,0,0,2,2,0,2,2,2,0,2,0,0,0
Anne Matokangas,PS,Alajärvi,ammattitutkinto,1969,suomi,female,3,2,0,2,2,0,3,2,2,1,1,0,1,1,2,2,0,2,2,3,2,2,0,1,0
Anne Nätynki,KD,Alajärvi,ammattitutkinto,1960,suomi,female,3,2,2,3,3,0,3,2,2,1,1,2,0,2,1,1,0,0,1,2,0,2,0,1,0
Aino-Maija Ojala,Kesk.,Alajärvi,alempi korkeakoulututkinto,1983,suomi,female,2,1,1,2,2,1,3,2,2,2,1,0,1,2,2,1,1,2,2,2,2,1,1,2,0
Sari Palmu,Kesk.,Alajärvi,ammattitutkinto,1972,suomi,female,2,1,1,2,2,0,2,2,1,2,0,1,0,1,2,1,1,1,2,1,2,1,1,2,1
Saila Piri,Kesk.,Alajärvi,ylempi korkeakoulututkinto,1978,suomi,female,2,1,1,2,1,0,3,2,2,2,0,1,1,2,1,2,1,2,2,1,2,1,1,1,1
Rebekka Saukko,Kesk.,Alajärvi,ylempi korkeakoulututkinto,1995,suomi,female,3,1,2,2,2,1,2,2,2,2,0,1,1,1,0,2,1,1,2,1,2,1,1,1,2
Galina Sillanpää,PS,Alajärvi,ylempi korkeakoulututkinto,1936,jokin muu,female,3,0,1,3,2,0,3,2,1,2,1,1,0,2,0,1,0,3,3,2,2,0,1,1,1
Henna Sillanpää,Kok.,Alajärvi,alempi korkeakoulututkinto,1987,suomi,female,2,1,1,2,1,1,1,2,3,2,0,0,0,2,1,0,2,2,2,1,2,1,2,1,2
Virpi Turja,Kok.,Alajärvi,ammattitutkinto,1980,suomi,female,3,2,2,3,2,1,2,3,2,3,1,1,0,2,1,1,2,2,1,1,2,2,1,2,2
Anni Viitasaari .SIT,Vihr.,Alajärvi,alempi korkeakoulututkinto,1989,suomi,female,3,1,2,2,1,1,3,2,1,3,0,0,0,3,1,0,1,3,2,1,2,1,1,0,1
Jukka Finnilä,Kok.,Alajärvi,peruskoulu,1970,suomi,male,2,1,1,3,2,0,3,3,3,0,0,1,0,1,0,1,1,3,2,2,1,1,0,0,0
Sami Finnilä,Kesk.,Alajärvi,ammattitutkinto,1974,suomi,male,2,1,2,3,2,0,3,1,2,2,1,1,0,2,1,2,0,3,2,2,1,1,1,0,0
Heikki Hietala,Kesk.,Alajärvi,ammattitutkinto,1978,suomi,male,2,1,2,3,3,0,3,1,2,2,1,1,2,1,2,3,0,3,2,2,2,1,0,2,0
Heikki Honko,PS,Alajärvi,ammattitutkinto,1969,suomi,male,3,3,0,3,3,0,3,3,2,0,0,0,2,0,0,2,0,3,0,3,2,2,0,1,0
Jari Hämeenniemi,PS,Alajärvi,ammattitutkinto,1973,suomi,male,3,1,1,1,1,0,3,2,2,1,0,2,1,0,2,2,0,2,1,2,1,0,0,1,0
Tapio Höykinpuro,Kesk.,Alajärvi,ammattitutkinto,1958,suomi,male,2,1,2,3,1,0,3,2,2,2,2,0,0,1,2,2,0,3,1,1,2,2,0,1,0
Antti Joensuu,Kesk.,Alajärvi,ylempi korkeakoulututkinto,1976,suomi,male,2,1,1,2,2,0,2,1,2,2,1,1,2,1,2,2,0,2,2,2,2,1,0,2,1
Pentti Joensuu,Kok.,Alajärvi,ammattitutkinto,1968,suomi,male,3,2,2,3,3,0,3,3,3,0,0,1,3,1,1,3,0,2,3,0,2,1,0,0,0
Turo Kalliomaa,Kok.,Alajärvi,ylempi korkeakoulututkinto,1975,suomi,male,2,1,0,2,2,0,2,2,2,2,0,1,1,1,1,3,0,2,2,2,2,1,1,1,0
Juha Kangas,Kok.,Alajärvi,ylempi korkeakoulututkinto,1975,suomi,male,2,2,2,0,2,2,2,3,2,1,0,2,0,1,1,1,2,2,2,1,2,1,2,0,1
Markku Kariluoma,Kesk.,Alajärvi,joku muu,1951,suomi,male,2,1,2,3,1,1,3,2,2,2,0,1,1,1,1,2,1,2,1,1,1,2,1,1,1
Juho Kettunen,Kok.,Alajärvi,ylempi korkeakoulututkinto,1996,suomi,male,3,2,1,3,2,1,3,3,3,2,0,2,1,1,1,1,1,2,2,0,2,0,1,1,1
Anttu Kivikangas,Kesk.,Alajärvi,ylempi korkeakoulututkinto,1991,suomi,male,3,1,1,2,2,0,2,2,2,2,1,1,2,1,0,1,1,1,2,1,2,1,1,1,0
Matti Kivipelto,Kok.,Alajärvi,peruskoulu,1984,suomi,male,2,0,0,2,2,0,2,3,3,0,0,1,0,2,0,0,1,2,2,2,1,1,1,0,0
Akseli Koskenmäki,PS,Alajärvi,ammattitutkinto,2003,suomi,male,2,1,2,3,3,0,3,2,1,2,1,1,2,1,2,3,1,3,2,2,1,2,1,1,1
Kuisma Kujala,Kesk.,Alajärvi,ammattitutkinto,1953,suomi,male,2,2,2,1,1,1,2,2,1,1,2,2,1,3,1,2,1,3,2,1,2,1,0,2,1
Tuomas Lahdenperä,Kok.,Alajärvi,alempi korkeakoulututkinto,1991,suomi,male,3,2,1,1,1,0,2,3,3,1,1,1,1,2,1,3,1,3,2,1,2,0,2,1,2
Samuli Luoma,KD,Alajärvi,peruskoulu,1989,suomi,male,2,1,0,3,2,0,3,2,2,0,0,1,1,1,1,2,0,1,1,2,1,1,0,1,0
Timo Mariapori,Kesk.,Alajärvi,ylioppilas,1967,suomi,male,2,1,1,2,1,0,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1
Jukka Pekka Matintupa,SDP,Alajärvi,ammattitutkinto,1954,suomi,male,3,0,2,2,2,1,2,1,1,3,1,0,1,2,1,2,1,2,2,1,2,1,1,1,2
Väinö Salomäki,Kok.,Alajärvi,ammattitutkinto,1997,suomi,male,2,1,1,3,3,0,2,3,1,3,0,2,0,1,1,2,1,2,2,2,2,1,0,2,0
Pasi Siirilä,PS,Alajärvi,ammattitutkinto,1973,suomi,male,3,1,0,3,3,0,3,2,2,3,0,1,0,1,0,0,0,3,2,3,3,1,2,1,0
Maria Keto,Kesk.,Alavus,ylempi korkeakoulututkinto,1978,suomi,female,2,2,1,1,2,1,2,2,2,3,2,2,1,2,1,2,1,2,2,2,1,2,2,2,0
Aada Kinnunen,Kesk.,Alavus,peruskoulu,2005,suomi,female,3,1,1,2,3,1,3,2,2,2,1,1,1,2,0,1,1,2,1,1,3,1,1,0,1
Rebekka Kinnunen,Kesk.,Alavus,alempi korkeakoulututkinto,1982,suomi,female,1,2,2,3,3,0,3,3,0,3,0,2,2,0,0,1,1,3,2,2,0,1,0,2,0
Anja Kohtamäki,Kesk.,Alavus,joku muu,1953,suomi,female,2,2,1,2,2,2,3,2,1,2,1,1,1,2,1,0,2,1,1,2,1,2,1,1,0
Outi Laine,Kok.,Alavus,ylempi korkeakoulututkinto,1981,suomi,female,3,2,2,2,2,0,2,3,2,2,0,1,1,1,2,3,0,2,2,0,2,0,0,2,2
Marianne Mäkelä,KD,Alavus,ammattitutkinto,1981,suomi,female,2,1,0,3,3,0,3,3,3,2,0,0,1,1,0,2,0,1,1,1,1,1,2,1,0
Tanja Pääkkö,PS,Alavus,ammattitutkinto,1972,suomi,female,2,0,1,2,2,0,3,3,2,1,1,0,0,2,1,1,0,3,2,2,1,1,1,0,0
Riitta Ranta-Knuuttila-Mertala,Kesk.,Alavus,joku muu,1963,suomi,female,2,3,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1
Minna Sepponen,Kesk.,Alavus,ammattitutkinto,1978,suomi,female,2,2,1,3,3,0,2,1,2,2,0,1,0,0,0,2,0,1,2,1,2,2,1,2,1
Elina Sinkkonen,Vihr.,Alavus,ammattitutkinto,1985,suomi,female,3,0,3,2,1,3,1,1,2,1,1,0,0,3,0,0,3,3,3,0,2,0,1,0,3
Erja Valkama,Kesk.,Alavus,ylempi korkeakoulututkinto,1973,suomi,female,3,0,2,3,1,1,2,2,1,2,1,2,2,2,1,2,0,2,2,1,2,1,1,2,0
Selina Vilmilä,Kok.,Alavus,ylioppilas,2004,suomi,female,2,1,1,2,2,0,2,2,1,3,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1
Soile Välimaa,Kesk.,Alavus,ylempi korkeakoulututkinto,1966,suomi,female,2,2,0,1,1,0,3,2,3,1,0,1,0,0,2,2,1,1,3,1,2,0,1,1,1
Pentti Ahopelto,KD,Alavus,ammattitutkinto,1967,suomi,male,3,1,2,3,3,0,3,3,2,2,0,0,0,2,0,2,1,2,2,1,2,1,1,2,0
Timo Ala-Heikkilä,Kok.,Alavus,ammattitutkinto,1981,suomi,male,2,2,3,2,3,0,2,1,1,3,0,1,2,1,1,3,0,3,2,1,2,1,1,2,0
Lasse Anttila,Kesk.,Alavus,peruskoulu,1951,suomi,male,2,2,1,1,2,0,2,2,1,1,0,1,0,1,2,2,2,1,2,1,1,1,1,2,1
Matias Holmström,Sit,Alavus,alempi korkeakoulututkinto,1991,suomi,male,3,3,0,3,1,0,3,3,3,0,0,3,0,1,2,3,0,1,2,3,0,3,0,3,0
Pasi Huhtala,Kesk.,Alavus,alempi korkeakoulututkinto,1976,suomi,male,3,0,1,1,3,0,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1
Toni Juurakko,Kesk.,Alavus,ylempi korkeakoulututkinto,1971,suomi,male,3,2,0,2,1,0,3,3,2,2,0,1,1,0,1,2,0,1,2,2,1,1,1,1,0
Janne Kallioniemi,Kesk.,Alavus,ylioppilas,1994,suomi,male,2,0,1,3,2,0,2,3,3,2,1,1,1,1,1,2,0,2,2,1,2,1,1,1,2
Heikki Korhonen,Kesk.,Alavus,alempi korkeakoulututkinto,1986,suomi,male,2,2,1,2,2,0,3,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,0
Ville Kurkela,Kesk.,Alavus,alempi korkeakoulututkinto,1985,suomi,male,3,2,3,2,0,1,2,1,1,3,0,1,0,0,2,2,1,3,2,2,2,1,1,1,2
Jarmo Linna,Kesk.,Alavus,ammattitutkinto,1963,suomi,male,2,1,1,2,2,0,3,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1
Jussi Maijala,Kok.,Alavus,ylempi korkeakoulututkinto,1969,suomi,male,2,2,0,1,1,1,2,2,2,1,0,1,2,0,2,2,0,2,1,3,1,1,0,0,0
Jukka Mäkelä,KD,Alavus,ylempi korkeakoulututkinto,1967,suomi,male,3,2,0,3,3,0,3,2,1,1,1,0,0,2,1,2,0,1,2,2,1,1,0,1,0
Henri Mäki-Tuuri,Sit,Alavus,ammattitutkinto,1974,suomi,male,3,0,0,3,2,0,3,3,2,2,0,2,0,1,2,3,0,3,0,2,1,3,0,0,0
Esa Mäki-neste,Kesk.,Alavus,alempi korkeakoulututkinto,1969,suomi,male,3,0,2,2,2,0,2,1,2,2,1,1,0,0,2,2,1,2,1,1,2,1,0,1,0
Julius Mäkiranta,Kok.,Alavus,alempi korkeakoulututkinto,2001,suomi,male,2,3,1,2,1,0,2,3,2,0,0,0,2,1,2,2,2,2,2,2,2,1,1,1,2
Hannu Puska,Kesk.,Alavus,peruskoulu,1959,suomi,male,3,2,2,3,3,1,2,3,2,3,1,0,0,2,1,2,1,2,2,2,1,2,0,1,1
Juha-pekka Siljanto,PS,Alavus,ammattitutkinto,1972,suomi,male,2,2,1,2,3,0,2,2,2,1,0,1,0,2,1,1,0,1,1,1,1,2,1,1,1
Hyvärinen TeemuEerkki Viljami,Sit,Alavus,alempi korkeakoulututkinto,1978,suomi,male,3,0,1,2,3,0,3,3,2,2,1,1,0,1,0,0,0,1,1,3,2,1,1,1,0
Ilkka Tiainen,Sit,Alavus,alempi korkeakoulututkinto,1982,suomi,male,2,0,1,2,2,0,2,3,2,1,0,2,1,0,1,2,0,1,2,1,0,2,0,2,0
Juha Toivola,PS,Alavus,ammattitutkinto,1971,suomi,male,3,0,1,2,3,0,3,3,3,3,2,1,1,0,1,2,0,2,1,0,0,1,0,1,0
Aimo Tupamäki,PS,Alavus,ammattitutkinto,1949,suomi,male,3,0,0,3,3,0,3,3,0,2,0,1,0,1,2,2,0,3,0,3,0,3,0,1,0
Aaron Tusa,PS,Alavus,peruskoulu,2006,suomi,male,3,0,2,2,2,0,2,1,3,1,0,0,0,2,1,2,0,3,2,2,1,1,1,0,0
Janne Vainionpää,PS,Alavus,ylempi korkeakoulututkinto,1981,suomi,male,3,0,1,0,3,0,2,3,0,3,0,3,1,0,2,3,0,3,3,0,1,1,0,2,1
